Material ID,Polymer Name (Formula),Decomposition Energy (eV/atom),Density (g/cm³),Thermal Conductivity (W/m·K),Heat Capacity (J/mol·K)
mp-995234,HCO,N/A,1.459956305621531,N/A,N/A
mp-23680,H(CO)2,N/A,1.708093959411746,N/A,N/A
mp-675395,H(CO)2,N/A,1.779719273909909,N/A,N/A
mp-675784,H(CO)2,N/A,1.767854219537199,N/A,N/A
mp-1210976,LiH(CO2)2,N/A,1.085737294796372,N/A,N/A
mp-697873,SnHC2O3,N/A,3.424777032712109,N/A,N/A
mp-1191606,CsHCO3,N/A,3.043260005762615,N/A,N/A
mp-1192213,NaHCO3,N/A,2.100107979616079,N/A,N/A
mp-1195442,TlH(CO2)2,N/A,4.339869008361266,N/A,N/A
mp-1199783,ReH(CO)4,N/A,2.740304761678474,N/A,N/A
mp-1200051,RbH(CO)4,N/A,2.211725459223921,N/A,N/A
mp-1203452,KH(CO2)2,N/A,1.904401368996238,N/A,N/A
mp-1209330,RbH(CO2)2,N/A,2.558784536365742,N/A,N/A
mp-1212514,HC3ClO2,N/A,1.790957473658068,N/A,N/A
mp-1214198,CaH(CO2)2,N/A,1.909259817986102,N/A,N/A
mp-1238754,CsHCO3,N/A,3.365097999009148,N/A,N/A
mp-600152,FeHC2O3,N/A,2.880365439627067,N/A,N/A
mp-634431,KHCO3,N/A,2.228416714388276,N/A,N/A
mp-696396,NaHCO3,N/A,2.146348261590712,N/A,N/A
mp-696987,CsH(CO2)2,N/A,2.841967321084332,N/A,N/A
mp-698558,SiHC3O,N/A,0.9251401354717981,N/A,N/A
mp-720532,HOs7C20O19,N/A,3.873334732180508,N/A,N/A
mp-1205051,ReH(CO)4,N/A,3.006841642685287,N/A,N/A
mp-746778,MnHC3O4,N/A,1.963164754026975,N/A,N/A
mp-1093996,ZnHC4O3,N/A,1.201691430206242,N/A,N/A
mp-600169,CoHCO3,N/A,3.029114825429784,N/A,N/A
mp-1179716,RbHCO3,N/A,2.8069415171354093,N/A,N/A
mp-1190216,HCNO,N/A,1.454282964212212,N/A,N/A
mp-1190956,KHCO3,N/A,2.116973977422005,N/A,N/A
mp-1197162,MnH(CO)5,N/A,1.607864260246371,N/A,N/A
mp-23684,NaHCO2,N/A,1.8551739938066172,N/A,N/A
mp-24230,HCNO,N/A,1.606045041431016,N/A,N/A
mp-705527,ReH(CO)4,N/A,3.139882994782576,N/A,N/A
mp-738714,LiHCO2,N/A,1.3670221172112411,N/A,N/A
mp-1007768,ZnHCO4,N/A,2.181137306995998,N/A,N/A
mp-1022803,CoHCO4,N/A,2.414751480809484,N/A,N/A
mp-769935,CuHCO4,N/A,2.297615355869705,N/A,N/A
mp-1210505,Na2H(CO2)2,N/A,1.968821072189415,N/A,N/A
mp-1212506,HC2(NO2)2,N/A,0.9073880276690941,N/A,N/A
mp-1219040,SmHCO4,N/A,4.894134562252886,N/A,N/A
mp-1219550,SbHC2O5,N/A,3.380485975253515,N/A,N/A
mp-1220134,NdHCO4,N/A,4.632197656496981,N/A,N/A
mp-1224646,GdHCO4,N/A,5.129921335957862,N/A,N/A
mp-23724,KHCO3,N/A,2.256145456749704,N/A,N/A
mp-698267,CoHCO3,N/A,2.4386563594989,N/A,N/A
mp-722571,ReH(CO)4,N/A,3.00032212554307,N/A,N/A
mp-734199,MnH(CO)4,N/A,1.8250069399868192,N/A,N/A
mp-558579,TlHCO2,N/A,4.737030065549943,N/A,N/A
mp-557687,TlHCO2,N/A,4.778122054053189,N/A,N/A
mp-24328,RbHCO2,N/A,2.601823488315529,N/A,N/A
mp-542704,CsHCO2,N/A,3.057541512390026,N/A,N/A
mp-1194953,TbH(CO2)3,N/A,3.844245416336287,N/A,N/A
mp-1203970,CeH(CO2)3,N/A,3.267125767910034,N/A,N/A
mp-643989,KHCO2,N/A,1.9216962173903211,N/A,N/A
mp-1190987,HCN3O,N/A,1.143434830698806,N/A,N/A
mp-1213514,CsU2H(C2O7)2,N/A,3.731396898239479,N/A,N/A
mp-1199329,GdPH(CO3)2,N/A,3.176803766558288,N/A,N/A
mp-1192729,KHC(NO)2,N/A,1.7581260002141752,N/A,N/A
mp-1210975,NaBeHCO5,N/A,1.7533646574513422,N/A,N/A
mp-1193261,CsHC(NO)2,N/A,2.588685954381024,N/A,N/A
mp-1197490,KFe3H(CO)11,N/A,1.917037554947877,N/A,N/A
mp-1201933,HCS(OF)3,N/A,1.9323603526865711,N/A,N/A
mp-1212586,HC4NCl2O3,N/A,1.6471683213337371,N/A,N/A
mp-1212700,HAuC4(N2O)2,N/A,2.628252361469591,N/A,N/A
mp-707177,HC5N3(OF4)2,N/A,1.963071289224525,N/A,N/A
mp-707833,HRu6C16NO16,N/A,2.722950379080998,N/A,N/A
mp-728942,CoHRu(CO)6,N/A,2.407966815279359,N/A,N/A
mp-734828,CoHRu3(CO)13,N/A,2.422528668270526,N/A,N/A
mp-1202901,Na2YHC2O7,N/A,2.883603793275391,N/A,N/A
mp-733590,TlCuHCO4,N/A,5.229933300960869,N/A,N/A
mp-769201,LiCuHCO4,N/A,2.505821710300743,N/A,N/A
